Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2021-10-11 14:11:59",93.40,15.83,,,,
"2021-10-09 22:16:04",93.95,13.52,,,,
"2021-09-29 00:15:09",92.50,15.12,,,,
"2021-09-27 07:39:55",93.50,19.45,,,,
"2021-09-25 18:31:56",92.85,15.33,,,,
"2021-09-23 19:51:27",93.60,18.98,,,,
"2021-09-22 11:25:00",93.55,15.77,,,,
"2021-09-17 23:46:11",93.75,15.59,,,,
"2021-09-13 13:50:24",93.35,13.18,,,,
"2021-09-10 12:34:32",93.50,14.81,,,,
"2021-09-09 18:06:58",93.75,17.22,,,,
"2021-09-07 08:24:29",93.80,17.88,,,,
"2021-09-05 11:41:45",94.85,15.96,,,,
"2021-09-04 13:37:15",92.35,14.80,,,,
"2021-09-01 08:06:09",94.05,19.77,,,,
"2021-08-31 10:07:07",94.30,17.98,,,,
"2021-08-30 16:24:13",94.50,16.22,,,,
"2021-08-29 14:55:03",94.70,15.23,,,,
"2021-08-27 08:49:52",95.95,19.03,,,,
"2021-08-21 14:52:09",95.10,14.67,,,,
"2021-08-18 19:13:34",95.00,16.05,,,,
"2021-08-14 14:48:52",95.80,16.55,,,,
"2021-08-01 09:10:00",95.35,19.27,,,,
"2021-07-30 18:54:05",96.10,17.25,,,,
"2021-07-29 10:22:46",95.35,15.79,,,,
"2021-07-23 08:13:49",96.05,19.52,,,,
"2021-07-20 09:23:02",95.95,,,,,
"2021-07-17 11:34:25",95.00,17.90,,,,
"2021-07-12 08:04:15",95.95,19.85,,,,
"2021-07-07 07:47:07",94.20,20.11,,,,
"2021-07-01 13:13:51",95.35,18.05,,,,
"2021-06-28 16:19:38",95.20,6.68,,,,
"2021-06-23 18:02:22",94.35,17.62,,,,
"2021-06-13 14:45:15",95.20,17.63,,,,
"2021-06-07 19:43:35",95.10,17.00,,,,
"2021-06-04 07:37:33",95.35,19.19,,,,
"2021-06-01 11:43:39",95.50,15.80,,,,
"2021-05-31 08:46:12",95.15,18.72,,,,
"2021-05-28 07:09:42",94.70,20.56,,,,
"2021-05-25 09:19:10",95.60,18.22,,,,
"2021-05-23 15:50:04",95.35,14.90,,,,
"2021-05-12 08:08:26",97.45,22.38,,,,
"2021-05-01 09:05:55",95.65,19.56,,,,
"2021-04-29 07:15:49",96.15,20.00,,,,
"2021-04-25 07:46:10",94.95,21.07,,,,
"2021-04-15 16:35:35",94.55,16.01,,,,
"2021-04-10 08:45:03",93.75,19.01,,,,
"2021-04-10 00:10:48",94.35,16.67,,,,
"2021-04-09 10:24:29",94.70,16.98,,,,
"2021-04-01 08:10:40",95.30,19.63,,,,
"2021-03-27 06:57:22",94.30,19.79,,,,
"2021-03-26 07:57:26",94.30,20.27,,,,
"2021-03-25 23:43:25",94.30,17.35,,,,
"2021-03-24 07:20:49",96.05,19.35,,,,
"2021-03-23 08:04:44",96.20,21.68,,,,
"2021-03-18 16:11:59",96.65,15.77,,,,
"2021-03-11 11:31:04",96.45,16.64,,,,
"2021-03-08 22:58:43",96.70,17.89,,,,
"2021-03-06 09:58:45",96.35,19.98,,,,
"2021-03-02 08:13:02",95.90,20.56,,,,
"2021-02-25 07:31:25",95.05,20.58,,,,
